title,release_year,rating,rank
"The Shawshank Redemption",1994,9.2,1
"The Godfather",1972,9.2,2
"The Godfather: Part II",1974,9.0,3
"The Dark Knight",2008,9.0,4
"12 Angry Men",1957,8.9,5
"Schindler's List",1993,8.9,6
"The Lord of the Rings: The Return of the King",2003,8.9,7
"Pulp Fiction",1994,8.9,8
"The Good, the Bad and the Ugly",1966,8.8,9
"Fight Club",1999,8.8,10
"The Lord of the Rings: The Fellowship of the Ring",2001,8.8,11
"Forrest Gump",1994,8.7,12
"Star Wars: Episode V - The Empire Strikes Back",1980,8.7,13
"Inception",2010,8.7,14
"The Lord of the Rings: The Two Towers",2002,8.7,15
"One Flew Over the Cuckoo's Nest",1975,8.7,16
"Goodfellas",1990,8.7,17
"The Matrix",1999,8.6,18
"Seven Samurai",1954,8.6,19
"City of God",2002,8.6,20
"Se7en",1995,8.6,21
"Star Wars: Episode IV - A New Hope",1977,8.6,22
"The Silence of the Lambs",1991,8.6,23
"It's a Wonderful Life",1946,8.6,24
"Life Is Beautiful",1997,8.6,25
"The Usual Suspects",1995,8.5,26
"Spirited Away",2001,8.5,27
"Saving Private Ryan",1998,8.5,28
"Léon: The Professional",1994,8.5,29
"The Green Mile",1999,8.5,30
"Interstellar",2014,8.5,31
"American History X",1998,8.5,32
"Psycho",1960,8.5,33
"City Lights",1931,8.5,34
"Once Upon a Time in the West",1968,8.5,35
"Casablanca",1942,8.5,36
"Modern Times",1936,8.5,37
"The Intouchables",2011,8.5,38
"The Pianist",2002,8.5,39
"The Departed",2006,8.5,40
"Terminator 2",1991,8.5,41
"Back to the Future",1985,8.5,42
"Rear Window",1954,8.5,43
"Whiplash",2014,8.5,44
"Raiders of the Lost Ark",1981,8.5,45
"Gladiator",2000,8.5,46
"The Lion King",1994,8.5,47
"Avengers: Infinity War",2018,8.5,48
"The Prestige",2006,8.5,49
"Memento",2000,8.4,50
"Apocalypse Now",1979,8.4,51
"Alien",1979,8.4,52
"The Great Dictator",1940,8.4,53
"Cinema Paradiso",1988,8.4,54
"Grave of the Fireflies",1988,8.4,55
"Sunset Boulevard",1950,8.4,56
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,8.4,57
"The Lives of Others",2006,8.4,58
"Paths of Glory",1957,8.4,59
"The Shining",1980,8.4,60
"Django Unchained",2012,8.4,61
"WALL·E",2008,8.4,62
"Princess Mononoke",1997,8.4,63
"Witness for the Prosecution",1957,8.4,64
"Coco",2017,8.4,65
"American Beauty",1999,8.4,66
"The Dark Knight Rises",2012,8.4,67
"Oldboy",2003,8.4,68
"Aliens",1986,8.3,69
"Once Upon a Time in America",1984,8.3,70
"Das Boot",1981,8.3,71
"Citizen Kane",1941,8.3,72
"Braveheart",1995,8.3,73
"Vertigo",1958,8.3,74
"North by Northwest",1959,8.3,75
"Reservoir Dogs",1992,8.3,76
"Your Name.",2016,8.3,77
"Star Wars: Episode VI - Return of the Jedi",1983,8.3,78
"M",1931,8.3,79
"Dangal",2016,8.3,80
"Requiem for a Dream",2000,8.3,81
"Amadeus",1984,8.3,82
"Like Stars on Earth",2007,8.3,83
"Lawrence of Arabia",1962,8.3,84
"Eternal Sunshine of the Spotless Mind",2004,8.3,85
"A Clockwork Orange",1971,8.3,86
"Amélie",2001,8.3,87
"Double Indemnity",1944,8.3,88
"3 Idiots",2009,8.3,89
"2001: A Space Odyssey",1968,8.3,90
"Toy Story",1995,8.3,91
"Taxi Driver",1976,8.3,92
"Singin' in the Rain",1952,8.3,93
"Full Metal Jacket",1987,8.3,94
"Inglourious Basterds",2009,8.3,95
"To Kill a Mockingbird",1962,8.3,96
"Bicycle Thieves",1948,8.3,97
"The Kid",1921,8.3,98
"The Sting",1973,8.3,99
"Toy Story 3",2010,8.3,100
"Good Will Hunting",1997,8.3,101
"The Hunt",2012,8.3,102
"Snatch",2000,8.3,103
"Monty Python and the Holy Grail",1975,8.2,104
"Scarface",1983,8.2,105
"For a Few Dollars More",1965,8.2,106
"L.A. Confidential",1997,8.2,107
"The Apartment",1960,8.2,108
"Metropolis",1927,8.2,109
"A Separation",2011,8.2,110
"Indiana Jones and the Last Crusade",1989,8.2,111
"Rashomon",1950,8.2,112
"Up",2009,8.2,113
"All About Eve",1950,8.2,114
"Yojimbo",1961,8.2,115
"Batman Begins",2005,8.2,116
"Some Like It Hot",1959,8.2,117
"Unforgiven",1992,8.2,118
"Downfall",2004,8.2,119
"The Treasure of the Sierra Madre",1948,8.2,120
"Die Hard",1988,8.2,121
"Heat",1995,8.2,122
"Ikiru",1952,8.2,123
"Raging Bull",1980,8.2,124
"The Great Escape",1963,8.2,125
"Incendies",2010,8.2,126
"My Father and My Son",2005,8.2,127
"Children of Heaven",1997,8.2,128
"Pan's Labyrinth",2006,8.2,129
"The Third Man",1949,8.2,130
"Chinatown",1974,8.2,131
"My Neighbor Totoro",1988,8.2,132
"Ran",1985,8.2,133
"Howl's Moving Castle",2004,8.2,134
"Judgment at Nuremberg",1961,8.2,135
"The Secret in Their Eyes",2009,8.2,136
"The Gold Rush",1925,8.2,137
"The Bridge on the River Kwai",1957,8.2,138
"Three Billboards Outside Ebbing, Missouri",2017,8.2,139
"On the Waterfront",1954,8.2,140
"A Beautiful Mind",2001,8.2,141
"Lock, Stock and Two Smoking Barrels",1998,8.2,142
"Casino",1995,8.2,143
"The Seventh Seal",1957,8.2,144
"Inside Out",2015,8.2,145
"Room",2015,8.1,146
"The Elephant Man",1980,8.1,147
"Mr. Smith Goes to Washington",1939,8.1,148
